timestamp,date,time_of_day,satellite,x_error,y_error,z_error,clock_error
2025-09-01 14:00:00,2025-09-01,14:00,GEO,-0.838447601,-0.667824946,0.676120792,1.428765496
2025-09-01 14:00:00,2025-09-01,14:00,MEO1,-0.765883333,0.671543743,0.434251402,-0.183988567
2025-09-01 14:00:00,2025-09-01,14:00,MEO1,-0.765883333,0.671543743,0.434251402,-0.183988567
2025-09-03 14:00:00,2025-09-03,14:00,GEO,-1.545576122,-1.451378983,-1.057287716,0.19088907
2025-09-04 14:00:00,2025-09-04,14:00,GEO,-4.049717102,-3.776607096,0.273805877,2.53258253
2025-09-05 14:00:00,2025-09-05,14:00,GEO,-2.239841014,-1.996976636,1.552120149,2.248902837
2025-09-06 14:00:00,2025-09-06,14:00,GEO,3.912175391,15.24969823,12.69978229,7.477469745
2025-09-06 14:00:00,2025-09-06,14:00,MEO1,0.007015683,-0.812115097,0.457226757,0.787286953
2025-09-06 14:00:00,2025-09-06,14:00,MEO1,0.007015683,-0.812115097,0.457226757,0.787286953
2025-09-07 14:00:00,2025-09-07,14:00,MEO1,-0.494502604,-0.202973183,0.799759143,-0.730752601
2025-09-07 14:00:00,2025-09-07,14:00,MEO1,-0.494502604,-0.202973183,0.799759143,-0.730752601
